smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW,fgroup,Unnamed: 15,Unnamed: 16
O(C)C=1C(=O)C[C@@]23[C@@H]([C@@H](N(C)CC2)C=C2C3=C(O)C(=O)C=C2)C=1,2-33,2.0,5.0,5.0,213.0,38.0,Low,313.356,0.84,1.0,0.44,1.27,5.06,Tert_amine,,
O(C)c1c2O[C@H]3[C@@]45[C@@H]([C@@H]([N@@H+](C)CC4)Cc(c25)cc1)CCOC(=O)NC3,2-34,2.0,5.0,6.0,209.0,24.0,Low,345.422,-0.55,1.0,0.31,1.19,4.63,Tert_amine,,
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)/C(=N/O)/C3,2-35,2.0,5.0,7.0,204.0,26.0,Low,344.414,-0.09,2.0,0.38,1.33,5.66,Tert_amine,,
O(C)C=1C(=O)C[C@@]2(CC[NH+](C)C)c3c4OCOc4ccc3C(=O)C=C2C=1,2-36,2.0,6.0,1.0,139.0,7.0,Low,356.402,0.57,4.0,0.3,1.23,4.96,Tert_amine,,
O(C)c1c(O)c2c(cc1)C=CC=1[C@]32C[C@@](O)(N(C)CC3)C(=O)C=1,2-37,2.0,6.0,2.0,134.0,65.0,Low,313.356,1.85,1.0,0.11,0.74,3.12,Tert_amine,,
O(C)c1c(O)c2c(C(=O)[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(=N/O)/C4)cc1,2-38,2.0,6.0,3.0,107.0,39.0,Low,358.398,0.74,2.0,0.37,1.32,5.74,Tert_amine,,
O=C(NCCC[NH+](C)C)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-39,2.0,4.0,4.0,72.0,5.0,Low,405.562,0.69,7.0,0.14,1.11,4.5,Tert_amine,,
O(C)[C@H]1[C@@H]2N(C)CC[C@@]3([C@@H]2C=C(OC)C(=O)C3)C=2C(=O)C(OC)=CC(=O)C1=2,2-40,2.0,6.0,5.0,3.0,0.0,Low,373.409,-0.03,3.0,0.5,1.48,5.92,Tert_amine,,
O(C)c1c(O)c2[C@@]3(CC[NH+](C)C)C(=Cc4nc5c(nc4C3)cccc5)C=Cc2cc1,2-41,2.0,6.0,6.0,1.0,0.0,Low,400.505,1.47,4.0,0.17,1.24,4.26,Tert_amine,,
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,2-42,2.0,6.0,7.0,138.0,7.0,Low,283.35,0.57,1.0,0.2,0.97,3.44,Acid,,
O=C([O-])[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,2-43,2.0,7.0,1.0,104.0,20.0,Low,344.368,-5.79,2.0,0.21,1.08,3.82,Acid,,
O=C([O-])CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-44,2.0,7.0,2.0,103.0,27.0,Low,319.381,-0.5,3.0,0.28,1.1,3.87,Acid,,
O=C([O-])CO[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,2-45,2.0,7.0,3.0,89.0,1.0,Low,228.186,-1.49,4.0,0.18,0.83,1.88,Acid,,
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-46,2.0,7.0,4.0,84.0,13.0,Low,299.35,-0.79,2.0,0.21,0.99,3.55,Acid,,
O=C(O[C@@H]1[C@@]2(C)C(=O)O[C@]3([C@@H]2[C@H](C(=O)[O-])[C@@]24[C@H]3CC[C@@](O)(C(=C)C2)C4)C=C1)C,2-47,2.0,7.0,5.0,81.0,3.0,Low,387.413,-2.3,3.0,0.17,1.13,3.56,Acid,,
O=C(NCc1occc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-48,2.0,7.0,6.0,72.0,3.0,Low,442.493,-3.05,4.0,0.17,1.03,5.89,Acid,,
