SMILES,,,Accumulation Status
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,,,Accumulates
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,,,DA (Doesn't Accumulate)
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,,,DA (Doesn't Accumulate)
O=C1[C@]2(CO)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,,,Accumulates
O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]C)c4c(C)cccc4[C@H]3CC2)C1,,,DA (Doesn't Accumulate)
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2)C,,,DA (Doesn't Accumulate)
O=C1[C@]2(C)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,,,Accumulates
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(N[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2)C,,,DA (Doesn't Accumulate)
O=C([O-])[C@]12C(=O)C[C@@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC1)C2,,,DA (Doesn't Accumulate)
S(=O)(=O)(OC1C2OCC([N+])C2OC1)c1ccc(-c2ccccc2)cc1,,,Accumulates
O(C)c1c(O)c2c(cc1)CC1[N+](C)CCC32C1CC(O)C([N+])C3,,,Accumulates
OC12C(=C)CC3(C(CC[N+])c4c(C)cccc4C3CC1)C2,,,Accumulates
O=C1C2(C)CC3(C(C[N+])c4c(C)cccc4C3CC2)C1,,,Accumulates
